LOCATION,INDICATOR,SUBJECT,MEASURE,FREQUENCY,TIME,Value,Flag Codes,TotalValue
AUS,PHARMAEXP,TOT,USD_CAP,A,1971,35.7562,,232.39130759
AUS,PHARMAEXP,TOT,USD_CAP,A,1972,36.0935,,238.885226778
AUS,PHARMAEXP,TOT,USD_CAP,A,1973,39.9124,,268.278779956
AUS,PHARMAEXP,TOT,USD_CAP,A,1974,47.6126,,325.332277378
AUS,PHARMAEXP,TOT,USD_CAP,A,1975,47.6161,,329.685019805
AUS,PHARMAEXP,TOT,USD_CAP,A,1976,46.9627,,328.788163872
AUS,PHARMAEXP,TOT,USD_CAP,A,1977,47.7031,,338.097247749
AUS,PHARMAEXP,TOT,USD_CAP,A,1978,50.8569,,365.048895638
AUS,PHARMAEXP,TOT,USD_CAP,A,1979,49.822,,361.805719874
AUS,PHARMAEXP,TOT,USD_CAP,A,1980,57.0365,,419.634413304
AUS,PHARMAEXP,TOT,USD_CAP,A,1981,65.467,,489.365366731
AUS,PHARMAEXP,TOT,USD_CAP,A,1982,67.6867,,514.644519771
AUS,PHARMAEXP,TOT,USD_CAP,A,1983,74.1692,,571.631369719
AUS,PHARMAEXP,TOT,USD_CAP,A,1984,77.3585,,603.487505672
AUS,PHARMAEXP,TOT,USD_CAP,A,1985,84.245,,666.00592408
AUS,PHARMAEXP,TOT,USD_CAP,A,1986,90.0491,,722.028361803
AUS,PHARMAEXP,TOT,USD_CAP,A,1987,93.6722,,763.018052092
AUS,PHARMAEXP,TOT,USD_CAP,A,1988,102.1456,,846.094374686
AUS,PHARMAEXP,TOT,USD_CAP,A,1989,111.3094,,937.985057274
AUS,PHARMAEXP,TOT,USD_CAP,A,1990,120.8768,,1033.96310357
AUS,PHARMAEXP,TOT,USD_CAP,A,1991,134.4526,,1165.51943858
AUS,PHARMAEXP,TOT,USD_CAP,A,1992,149.1192,,1307.775384
AUS,PHARMAEXP,TOT,USD_CAP,A,1993,165.419,,1464.454407
AUS,PHARMAEXP,TOT,USD_CAP,A,1994,183.9732,,1645.0883544
AUS,PHARMAEXP,TOT,USD_CAP,A,1995,198.4164,,1794.4779216
AUS,PHARMAEXP,TOT,USD_CAP,A,1996,215.5988,,1974.6694092
AUS,PHARMAEXP,TOT,USD_CAP,A,1997,232.5673,,2155.2011691
AUS,PHARMAEXP,TOT,USD_CAP,A,1998,261.7283,,2450.8238012
AUS,PHARMAEXP,TOT,USD_CAP,A,1999,291.5888,,2761.9291136
AUS,PHARMAEXP,TOT,USD_CAP,A,2000,338.6553,,3246.0110505
AUS,PHARMAEXP,TOT,USD_CAP,A,2001,364.7646,,3542.9585598
AUS,PHARMAEXP,TOT,USD_CAP,A,2002,373.044,,3663.29208
AUS,PHARMAEXP,TOT,USD_CAP,A,2003,401.3272,,3986.3830776
AUS,PHARMAEXP,TOT,USD_CAP,A,2004,429.8507,,4314.4114759
AUS,PHARMAEXP,TOT,USD_CAP,A,2005,432.5128,,4393.0325096
AUS,PHARMAEXP,TOT,USD_CAP,A,2006,461.7935,,4752.778702
AUS,PHARMAEXP,TOT,USD_CAP,A,2007,485.8596,,5088.8934504
AUS,PHARMAEXP,TOT,USD_CAP,A,2008,510.1722,,5447.1085794
AUS,PHARMAEXP,TOT,USD_CAP,A,2009,553.739,,6030.771449
AUS,PHARMAEXP,TOT,USD_CAP,A,2010,563.8385,,6238.309164
AUS,PHARMAEXP,TOT,USD_CAP,A,2011,580.9213,,6519.0988286
AUS,PHARMAEXP,TOT,USD_CAP,A,2012,582.8741,,6653.5078515
AUS,PHARMAEXP,TOT,USD_CAP,A,2013,626.0573,,7271.0294822
AUT,PHARMAEXP,TOT,USD_CAP,A,1990,152.7613,B,611.3953289
AUT,PHARMAEXP,TOT,USD_CAP,A,1991,160.9163,,649.058309795
AUT,PHARMAEXP,TOT,USD_CAP,A,1992,170.5544,,694.294727618
AUT,PHARMAEXP,TOT,USD_CAP,A,1993,182.6998,,748.807005787
AUT,PHARMAEXP,TOT,USD_CAP,A,1994,193.0415,,793.41465703
AUT,PHARMAEXP,TOT,USD_CAP,A,1995,202.3385,,832.461663715
AUT,PHARMAEXP,TOT,USD_CAP,A,1996,215.2729,,886.608327383
AUT,PHARMAEXP,TOT,USD_CAP,A,1997,257.7595,,1062.4534701
AUT,PHARMAEXP,TOT,USD_CAP,A,1998,290.4145,,1197.8497454
AUT,PHARMAEXP,TOT,USD_CAP,A,1999,324.7133,,1341.112363
AUT,PHARMAEXP,TOT,USD_CAP,A,2000,347.1959,,1436.29666452
AUT,PHARMAEXP,TOT,USD_CAP,A,2001,357.6324,,1483.59294972
AUT,PHARMAEXP,TOT,USD_CAP,A,2002,387.0667,,1611.42873117
AUT,PHARMAEXP,TOT,USD_CAP,A,2003,419.8935,,1754.29824726
AUT,PHARMAEXP,TOT,USD_CAP,A,2004,437.2848,,1837.35703555
AUT,PHARMAEXP,TOT,USD_CAP,A,2005,442.9458,,1872.03335113
AUT,PHARMAEXP,TOT,USD_CAP,A,2006,476.9972,,2025.05917679
AUT,PHARMAEXP,TOT,USD_CAP,A,2007,505.9249,,2154.55252206
AUT,PHARMAEXP,TOT,USD_CAP,A,2008,539.4716,,2304.25907134
AUT,PHARMAEXP,TOT,USD_CAP,A,2009,516.1968,,2209.47096868
AUT,PHARMAEXP,TOT,USD_CAP,A,2010,523.9678,,2247.45298867
AUT,PHARMAEXP,TOT,USD_CAP,A,2011,544.1185,,2340.4419335
AUT,PHARMAEXP,TOT,USD_CAP,A,2012,566.0045,,2443.37350596
AUT,PHARMAEXP,TOT,USD_CAP,A,2013,582.7718,,2526.64327075
AUT,PHARMAEXP,TOT,USD_CAP,A,2014,609.2467,,2529.69647959
BEL,PHARMAEXP,TOT,USD_CAP,A,1970,42.5776,,209.898797014
BEL,PHARMAEXP,TOT,USD_CAP,A,1971,47.6457,,235.364850493
BEL,PHARMAEXP,TOT,USD_CAP,A,1972,52.9251,,262.445938532
BEL,PHARMAEXP,TOT,USD_CAP,A,1973,62.8897,,312.848145804
BEL,PHARMAEXP,TOT,USD_CAP,A,1974,70.2343,,350.409176908
BEL,PHARMAEXP,TOT,USD_CAP,A,1975,77.0451,,385.380514741
BEL,PHARMAEXP,TOT,USD_CAP,A,1976,76.7118,,384.431750149
BEL,PHARMAEXP,TOT,USD_CAP,A,1977,85.8548,,430.913483261
BEL,PHARMAEXP,TOT,USD_CAP,A,1978,94.5717,,475.282750958
BEL,PHARMAEXP,TOT,USD_CAP,A,1979,102.0245,,513.391262955
BEL,PHARMAEXP,TOT,USD_CAP,A,1980,112.0607,,564.68193567
BEL,PHARMAEXP,TOT,USD_CAP,A,1981,120.4051,,607.08817324
BEL,PHARMAEXP,TOT,USD_CAP,A,1982,127.7844,,644.480238047
BEL,PHARMAEXP,TOT,USD_CAP,A,1983,138.2392,,697.304790248
BEL,PHARMAEXP,TOT,USD_CAP,A,1984,137.5915,,694.126139719
BEL,PHARMAEXP,TOT,USD_CAP,A,1985,152.3046,,768.59556871
BEL,PHARMAEXP,TOT,USD_CAP,A,1986,162.3468,,819.463980535
BEL,PHARMAEXP,TOT,USD_CAP,A,1987,175.457,,886.271030255
BEL,PHARMAEXP,TOT,USD_CAP,A,1988,195.8104,,992.032271416
BEL,PHARMAEXP,TOT,USD_CAP,A,1989,204.9142,,1041.61473858
BEL,PHARMAEXP,TOT,USD_CAP,A,1990,210.212,,1071.44762103
BEL,PHARMAEXP,TOT,USD_CAP,A,1991,231.1272,,1182.10630483
BEL,PHARMAEXP,TOT,USD_CAP,A,1992,255.5607,,1311.99905502
BEL,PHARMAEXP,TOT,USD_CAP,A,1993,281.0505,,1448.14839466
BEL,PHARMAEXP,TOT,USD_CAP,A,1994,287.8923,,1487.87202971
BEL,PHARMAEXP,TOT,USD_CAP,A,1995,309.0453,,1600.87999571
BEL,PHARMAEXP,TOT,USD_CAP,A,1996,308.9161,,1603.6928314
BEL,PHARMAEXP,TOT,USD_CAP,A,1997,323.6698,,1684.38378893
BEL,PHARMAEXP,TOT,USD_CAP,A,2003,483.4993,B,2562.11210763
BEL,PHARMAEXP,TOT,USD_CAP,A,2004,497.9668,,2650.12254138
BEL,PHARMAEXP,TOT,USD_CAP,A,2005,511.916,,2739.2850403
BEL,PHARMAEXP,TOT,USD_CAP,A,2006,518.6456,B,2793.08445144
BEL,PHARMAEXP,TOT,USD_CAP,A,2007,551.8932,,2992.82907258
BEL,PHARMAEXP,TOT,USD_CAP,A,2008,580.6207,,3172.21713011
BEL,PHARMAEXP,TOT,USD_CAP,A,2009,606.8112,,3341.13644863
BEL,PHARMAEXP,TOT,USD_CAP,A,2010,613.646,,3413.89801909
BEL,PHARMAEXP,TOT,USD_CAP,A,2011,640.1315,,3598.17596084
BEL,PHARMAEXP,TOT,USD_CAP,A,2012,626.9682,,3547.78608131
BEL,PHARMAEXP,TOT,USD_CAP,A,2013,633.3454,,3598.24295469
BEL,PHARMAEXP,TOT,USD_CAP,A,2014,623.0143,,3554.85791738
CAN,PHARMAEXP,TOT,USD_CAP,A,1970,34.3889,,371.8471757
CAN,PHARMAEXP,TOT,USD_CAP,A,1971,37.3585,,408.552556
CAN,PHARMAEXP,TOT,USD_CAP,A,1972,38.1414,,422.416005
CAN,PHARMAEXP,TOT,USD_CAP,A,1973,40.3347,,452.555334
CAN,PHARMAEXP,TOT,USD_CAP,A,1974,40.4139,,460.1122515
CAN,PHARMAEXP,TOT,USD_CAP,A,1975,44.2085,B,511.0944685
CAN,PHARMAEXP,TOT,USD_CAP,A,1976,46.7988,,548.7627288
CAN,PHARMAEXP,TOT,USD_CAP,A,1977,50.3299,,597.8185522
CAN,PHARMAEXP,TOT,USD_CAP,A,1978,55.0996,,661.8012956
CAN,PHARMAEXP,TOT,USD_CAP,A,1979,61.6081,,748.0455502
CAN,PHARMAEXP,TOT,USD_CAP,A,1980,68.4548,,842.5416784
CAN,PHARMAEXP,TOT,USD_CAP,A,1981,82.5794,,1029.6825386
CAN,PHARMAEXP,TOT,USD_CAP,A,1982,90.1581,,1138.3361706
CAN,PHARMAEXP,TOT,USD_CAP,A,1983,98.1941,,1252.956716
CAN,PHARMAEXP,TOT,USD_CAP,A,1984,109.2099,,1407.6064011
CAN,PHARMAEXP,TOT,USD_CAP,A,1985,124.0283,,1614.1042962
CAN,PHARMAEXP,TOT,USD_CAP,A,1986,141.2255,,1856.9740995
CAN,PHARMAEXP,TOT,USD_CAP,A,1987,151.8237,,2022.4435077
CAN,PHARMAEXP,TOT,USD_CAP,A,1988,166.7338,,2251.4065014
CAN,PHARMAEXP,TOT,USD_CAP,A,1989,183.6393,,2525.4076536
CAN,PHARMAEXP,TOT,USD_CAP,A,1990,201.5857,,2816.03329344
CAN,PHARMAEXP,TOT,USD_CAP,A,1991,221.9058,,3136.20132857
CAN,PHARMAEXP,TOT,USD_CAP,A,1992,244.3338,,3497.91444419
CAN,PHARMAEXP,TOT,USD_CAP,A,1993,263.1216,,3809.86131355
CAN,PHARMAEXP,TOT,USD_CAP,A,1994,271.8611,,3980.99258063
CAN,PHARMAEXP,TOT,USD_CAP,A,1995,287.3465,,4252.6793511
CAN,PHARMAEXP,TOT,USD_CAP,A,1996,291.8236,,4365.6489554
CAN,PHARMAEXP,TOT,USD_CAP,A,1997,320.0445,,4832.49912597
CAN,PHARMAEXP,TOT,USD_CAP,A,1998,352.6553,,5370.92963934
CAN,PHARMAEXP,TOT,USD_CAP,A,1999,375.6452,,5767.10420236
CAN,PHARMAEXP,TOT,USD_CAP,A,2000,402.0839,,6228.9912995
CAN,PHARMAEXP,TOT,USD_CAP,A,2001,441.4964,,6910.92416272
CAN,PHARMAEXP,TOT,USD_CAP,A,2002,478.2263,,7565.77917915
CAN,PHARMAEXP,TOT,USD_CAP,A,2003,519.9435,,8300.48722213
CAN,PHARMAEXP,TOT,USD_CAP,A,2004,553.4267,,8918.42699636
CAN,PHARMAEXP,TOT,USD_CAP,A,2005,592.7384,,9641.13309874
CAN,PHARMAEXP,TOT,USD_CAP,A,2006,637.8091,,10478.0554566
CAN,PHARMAEXP,TOT,USD_CAP,A,2007,661.6613,,10986.2970079
CAN,PHARMAEXP,TOT,USD_CAP,A,2008,679.6451,,11416.8822833
CAN,PHARMAEXP,TOT,USD_CAP,A,2009,729.9941,,12410.1843977
CAN,PHARMAEXP,TOT,USD_CAP,A,2010,781.2434,B,13437.3396054
CAN,PHARMAEXP,TOT,USD_CAP,A,2011,774.9913,,13467.0393199
CAN,PHARMAEXP,TOT,USD_CAP,A,2012,769.1792,,13515.5169359
CAN,PHARMAEXP,TOT,USD_CAP,A,2013,781.5592,,13852.3552608
CAN,PHARMAEXP,TOT,USD_CAP,A,2014,772.2388,P,13834.658102
CAN,PHARMAEXP,TOT,USD_CAP,A,2015,787.366,P,0
CZE,PHARMAEXP,TOT,USD_CAP,A,1990,115.481,,615.081138174
CZE,PHARMAEXP,TOT,USD_CAP,A,1991,97.2854,,516.106829832
CZE,PHARMAEXP,TOT,USD_CAP,A,1992,117.2054,,622.194007921
CZE,PHARMAEXP,TOT,USD_CAP,A,1993,145.476,,773.009565732
CZE,PHARMAEXP,TOT,USD_CAP,A,1994,198.9935,,1057.6015001
CZE,PHARMAEXP,TOT,USD_CAP,A,1995,224.8582,,1194.13105749
CZE,PHARMAEXP,TOT,USD_CAP,A,1996,229.0396,,1214.06700117
CZE,PHARMAEXP,TOT,USD_CAP,A,1997,229.1869,,1213.11170145
CZE,PHARMAEXP,TOT,USD_CAP,A,1998,211.3985,,1117.76174701
CZE,PHARMAEXP,TOT,USD_CAP,A,1999,215.8827,,1139.85223657
CZE,PHARMAEXP,TOT,USD_CAP,A,2000,230.2176,B,1213.97815332
CZE,PHARMAEXP,TOT,USD_CAP,A,2001,260.1727,,1364.66851312
CZE,PHARMAEXP,TOT,USD_CAP,A,2002,285.4125,,1494.4700826
CZE,PHARMAEXP,TOT,USD_CAP,A,2003,324.8998,B,1700.35075711
CZE,PHARMAEXP,TOT,USD_CAP,A,2004,344.5234,,1803.64649202
CZE,PHARMAEXP,TOT,USD_CAP,A,2005,366.2562,,1920.1541657
CZE,PHARMAEXP,TOT,USD_CAP,A,2006,355.5038,,1867.6768967
CZE,PHARMAEXP,TOT,USD_CAP,A,2007,357.316,,1884.69468581
CZE,PHARMAEXP,TOT,USD_CAP,A,2008,361.2541,,1920.55684708
CZE,PHARMAEXP,TOT,USD_CAP,A,2009,437.0405,,2334.22588081
CZE,PHARMAEXP,TOT,USD_CAP,A,2010,383.7713,,2055.65753645
CZE,PHARMAEXP,TOT,USD_CAP,A,2011,408.8968,,2185.00670098
CZE,PHARMAEXP,TOT,USD_CAP,A,2012,435.9977,,2331.87832674
CZE,PHARMAEXP,TOT,USD_CAP,A,2013,417.9115,,2235.45124047
CZE,PHARMAEXP,TOT,USD_CAP,A,2014,408.2692,,2186.54163348
DNK,PHARMAEXP,TOT,USD_CAP,A,1980,54.2683,,140.7930263
DNK,PHARMAEXP,TOT,USD_CAP,A,1981,58.7428,,152.469698312
DNK,PHARMAEXP,TOT,USD_CAP,A,1982,65.5632,,170.155320638
DNK,PHARMAEXP,TOT,USD_CAP,A,1983,70.6823,,183.400494727
DNK,PHARMAEXP,TOT,USD_CAP,A,1984,74.731,,193.860583872
DNK,PHARMAEXP,TOT,USD_CAP,A,1985,82.752,,214.730930496
DNK,PHARMAEXP,TOT,USD_CAP,A,1986,90.9164,,236.131892569
DNK,PHARMAEXP,TOT,USD_CAP,A,1987,92.0032,,239.209792051
DNK,PHARMAEXP,TOT,USD_CAP,A,1988,103.0012,,267.951029723
DNK,PHARMAEXP,TOT,USD_CAP,A,1989,101.5021,,264.231484745
DNK,PHARMAEXP,TOT,USD_CAP,A,1990,115.1285,,300.191231682
DNK,PHARMAEXP,TOT,USD_CAP,A,1991,126.9821,,331.915336638
DNK,PHARMAEXP,TOT,USD_CAP,A,1992,131.866,,345.732344636
DNK,PHARMAEXP,TOT,USD_CAP,A,1993,149.8887,,394.148824407
DNK,PHARMAEXP,TOT,USD_CAP,A,1994,163.04,,430.06642288
DNK,PHARMAEXP,TOT,USD_CAP,A,1995,169.2881,,448.71503786
DNK,PHARMAEXP,TOT,USD_CAP,A,1996,175.5872,,467.851040877
DNK,PHARMAEXP,TOT,USD_CAP,A,1997,185.0009,,494.819687219
DNK,PHARMAEXP,TOT,USD_CAP,A,1998,208.3181,,559.057868699
DNK,PHARMAEXP,TOT,USD_CAP,A,1999,207.9687,,559.857355555
DNK,PHARMAEXP,TOT,USD_CAP,A,2000,217.2356,,586.622145298
DNK,PHARMAEXP,TOT,USD_CAP,A,2001,229.5568,,621.995856997
DNK,PHARMAEXP,TOT,USD_CAP,A,2002,258.7376,,703.15720369
DNK,PHARMAEXP,TOT,USD_CAP,A,2003,257.2893,B,700.931696254
DNK,PHARMAEXP,TOT,USD_CAP,A,2004,266.4764,,727.696151408
DNK,PHARMAEXP,TOT,USD_CAP,A,2005,265.7165,,727.495373839
DNK,PHARMAEXP,TOT,USD_CAP,A,2006,297.0078,,815.58876494
DNK,PHARMAEXP,TOT,USD_CAP,A,2007,320.3672,,883.179647046
DNK,PHARMAEXP,TOT,USD_CAP,A,2008,324.1752,,898.379599906
DNK,PHARMAEXP,TOT,USD_CAP,A,2009,323.3739,,900.73891939
DNK,PHARMAEXP,TOT,USD_CAP,A,2010,336.3333,,940.976153742
DNK,PHARMAEXP,TOT,USD_CAP,A,2011,310.5971,,872.43402001
DNK,PHARMAEXP,TOT,USD_CAP,A,2012,295.9196,,834.125739857
DNK,PHARMAEXP,TOT,USD_CAP,A,2013,298.1846,,843.673368964
DNK,PHARMAEXP,TOT,USD_CAP,A,2014,324.6279,B,0
FIN,PHARMAEXP,TOT,USD_CAP,A,1970,23.0835,,54.984897
FIN,PHARMAEXP,TOT,USD_CAP,A,1971,27.4366,,65.436291
FIN,PHARMAEXP,TOT,USD_CAP,A,1972,31.1478,,74.6924244
FIN,PHARMAEXP,TOT,USD_CAP,A,1973,32.3981,,78.1118191
FIN,PHARMAEXP,TOT,USD_CAP,A,1974,34.8523,,84.4471229
FIN,PHARMAEXP,TOT,USD_CAP,A,1975,40.6442,,98.9279828
FIN,PHARMAEXP,TOT,USD_CAP,A,1976,45.0194,,109.8923554
FIN,PHARMAEXP,TOT,USD_CAP,A,1977,49.183,,120.399984
FIN,PHARMAEXP,TOT,USD_CAP,A,1978,53.4921,,131.2696134
FIN,PHARMAEXP,TOT,USD_CAP,A,1979,57.0508,,140.4020188
FIN,PHARMAEXP,TOT,USD_CAP,A,1980,60.4192,,149.1145856
FIN,PHARMAEXP,TOT,USD_CAP,A,1981,66.1013,,163.8651227
FIN,PHARMAEXP,TOT,USD_CAP,A,1982,69.6761,,173.6328412
FIN,PHARMAEXP,TOT,USD_CAP,A,1983,77.1233,,193.2709898
FIN,PHARMAEXP,TOT,USD_CAP,A,1984,82.0069,,206.5753811
FIN,PHARMAEXP,TOT,USD_CAP,A,1985,89.2614,,225.7420806
FIN,PHARMAEXP,TOT,USD_CAP,A,1986,93.7467,,237.7416312
FIN,PHARMAEXP,TOT,USD_CAP,A,1987,101.2402,,257.5550688
FIN,PHARMAEXP,TOT,USD_CAP,A,1988,105.7765,,269.730075
FIN,PHARMAEXP,TOT,USD_CAP,A,1989,113.9392,,291.3425344
FIN,PHARMAEXP,TOT,USD_CAP,A,1990,128.0286,,328.6494162
FIN,PHARMAEXP,TOT,USD_CAP,A,1991,148.8696,,383.9346984
FIN,PHARMAEXP,TOT,USD_CAP,A,1992,161.8266,,419.4545472
FIN,PHARMAEXP,TOT,USD_CAP,A,1993,170.5334,B,443.8984402
FIN,PHARMAEXP,TOT,USD_CAP,A,1994,182.01,,475.41012
FIN,PHARMAEXP,TOT,USD_CAP,A,1995,203.104,,532.335584
FIN,PHARMAEXP,TOT,USD_CAP,A,1996,220.3931,,579.1930668
FIN,PHARMAEXP,TOT,USD_CAP,A,1997,234.5483,,618.0347705
FIN,PHARMAEXP,TOT,USD_CAP,A,1998,232.5166,,614.0763406
FIN,PHARMAEXP,TOT,USD_CAP,A,1999,259.2587,,685.9985202
FIN,PHARMAEXP,TOT,USD_CAP,A,2000,282.6023,B,748.896095
FIN,PHARMAEXP,TOT,USD_CAP,A,2001,309.2908,,821.167074
FIN,PHARMAEXP,TOT,USD_CAP,A,2002,339.8152,,903.5686168
FIN,PHARMAEXP,TOT,USD_CAP,A,2003,356.0925,,948.63042
FIN,PHARMAEXP,TOT,USD_CAP,A,2004,392.8761,,1049.3720631
FIN,PHARMAEXP,TOT,USD_CAP,A,2005,413.1351,,1106.7889329
FIN,PHARMAEXP,TOT,USD_CAP,A,2006,405.1589,,1089.0671232
FIN,PHARMAEXP,TOT,USD_CAP,A,2007,430.7631,,1162.1988438
FIN,PHARMAEXP,TOT,USD_CAP,A,2008,468.4428,,1269.0115452
FIN,PHARMAEXP,TOT,USD_CAP,A,2009,468.1731,,1273.8990051
FIN,PHARMAEXP,TOT,USD_CAP,A,2010,459.2402,,1254.6442264
FIN,PHARMAEXP,TOT,USD_CAP,A,2011,465.3456,,1276.4429808
FIN,PHARMAEXP,TOT,USD_CAP,A,2012,474.2172,,1305.9941688
FIN,PHARMAEXP,TOT,USD_CAP,A,2013,484.7608,,1340.363612
FIN,PHARMAEXP,TOT,USD_CAP,A,2014,476.0305,,1323.36479
FRA,PHARMAEXP,TOT,USD_CAP,A,1970,46.8295,,1216.62010751
